"Edit","Forward Sexp","Alt+Right","Editing Text"
"Text Editing","Scroll Other Window","Ctrl+Alt+V","Editing Text"
"Source","Toggle Comment","Esc ;","Editing Java Source"
"Edit","Transpose Words","Alt+T","Editing Text"
"View","Zoom Out","Ctrl+-","In Windows"
"Text Editing","Lowercase","Alt+L","Editing Text"
"Window","Next View","Ctrl+F7","In Windows"
"Text Editing","Begin Buffer","Ctrl+Home","Editing Text"
"gazonk.del","Kill Line","Ctrl+K","In Console View"
"Text Editing","Universal Argument","Alt+2","Editing Text"
"Text Editing","Indent Rigidly","Ctrl+X Tab","Editing Text"
"Text Editing","Scroll Down","Esc Shift+V","Editing Text"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Edit","Kill Sexp","Ctrl+Alt+K","Editing Text"
"Text Editing","What Cursor Position","Ctrl+X =","Editing Text"
"Text Editing","Describe Bindings","Ctrl+H B","Editing Text"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Text Editing","Kbd Macro Cycle Ring Previous","Ctrl+X Ctrl+K Ctrl+P","Editing Text"
"Edit","Forward Sexp","Ctrl+Alt+F","Editing Text"
"Text Editing","Capitalize","Alt+C","Editing Text"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Goto Line","Alt+G","Editing Text"
"Text Editing","Jump to Register","Ctrl+X R J","Editing Text"
"Text Editing","Scroll Other Window","Alt+PageDown","Editing Text"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Text Editing","Forward Paragraph","Shift+Alt+]","Editing Text"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Text Editing","Kbd Macro Bind To Key","Ctrl+X Ctrl+K B","Editing Text"
"Text Editing","Replace Rectangle","Ctrl+X R T","Editing Text"
"Text Editing","Indent For Comment","Ctrl+;","Editing Java Source"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Edit","Incremental Find","Ctrl+S","Editing Text"
"Edit","Transpose Sexps","Ctrl+Alt+T","Editing Text"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Project","Build All","Ctrl+B","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Navigate","Open Declaration","Esc .","Editing Java Source"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Text Editing","Universal Argument","Ctrl+5","Editing Text"
"Navigate","Forward History","Alt+Right","In Windows"
"Text Editing","Backward Word","Shift+Alt+B","Editing Text"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Text Editing","Begin Buffer","Shift+Alt+,","Editing Text"
"Edit","Select Enclosing Element","Ctrl+Alt+U","Editing Java Source"
"Text Editing","Universal Argument","Ctrl+Alt+6","Editing Text"
"Text Editing","Forward Word","Shift+Alt+F","Editing Text"
"Run/Debug","Step Into","Ctrl+C Ctrl+S","Debugging"
"Navigate","Forward History","Ctrl+X Right","In Windows"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Text Editing","Universal Argument","Alt+6","Editing Text"
"Text Editing","Next Line","Shift+Down","Editing Text"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Text Editing","Kbd Macro Call","Ctrl+X Ctrl+K K","Editing Text"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Task","Open Selected Task","Ctrl+Enter","In Tasks View"
"Text Editing","Universal Argument","Alt+3","Editing Text"
"gazonk.del","Copy","Esc W","In Console View"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"gazonk.del","Delete Char","Ctrl+D","In Console View"
"Text Editing","End Line","Shift+End","Editing Text"
"Window","Next View","Shift+Ctrl+Alt+L","In Windows"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"gazonk.del","Cut","Ctrl+W","Editing Text"
"Navigate","Backward History","Alt+Left","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
